Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04150:mTOR signaling pathway	5	9.615384615384617	9.607226949423712E-4	3479, 7248, 6249, 6655, 5291	26	156	8644	10.655818540433925	0.1309311560155897	0.1319831555496852	0.13017516711749774
KEGG_PATHWAY	hsa01522:Endocrine resistance	4	7.6923076923076925	0.002711982648281203	3479, 2099, 6655, 5291	26	98	8644	13.569858712715858	0.32732120951660626	0.1319831555496852	0.13017516711749774
KEGG_PATHWAY	hsa05231:Choline metabolism in cancer	4	7.6923076923076925	0.002711982648281203	7248, 6655, 8526, 5291	26	98	8644	13.569858712715858	0.32732120951660626	0.1319831555496852	0.13017516711749774
KEGG_PATHWAY	hsa05224:Breast cancer	4	7.6923076923076925	0.008425200414035692	3479, 2099, 6655, 5291	26	147	8644	9.046572475143904	0.7092496788639089	0.250629251873871	0.24719597445094127
KEGG_PATHWAY	hsa04072:Phospholipase D signaling pathway	4	7.6923076923076925	0.00858319355732435	7248, 6655, 8526, 5291	26	148	8644	8.985446985446986	0.7159358627391181	0.250629251873871	0.24719597445094127
KEGG_PATHWAY	hsa04917:Prolactin signaling pathway	3	5.769230769230769	0.017198425974712182	2099, 6655, 5291	26	70	8644	14.24835164835165	0.9205647748604873	0.2812840623804306	0.27743085604645207
KEGG_PATHWAY	hsa04151:PI3K-Akt signaling pathway	5	9.615384615384617	0.01854029739022022	3479, 7248, 2069, 6655, 5291	26	359	8644	4.630383544032569	0.9349299674740993	0.2812840623804306	0.27743085604645207
KEGG_PATHWAY	hsa04115:p53 signaling pathway	3	5.769230769230769	0.01910035270733775	4194, 3479, 64393	26	74	8644	13.478170478170478	0.940132869505118	0.2812840623804306	0.27743085604645207
KEGG_PATHWAY	hsa05214:Glioma	3	5.769230769230769	0.01958918563910134	3479, 6655, 5291	26	75	8644	13.29846153846154	0.9443350802273184	0.2812840623804306	0.27743085604645207
KEGG_PATHWAY	hsa05205:Proteoglycans in cancer	4	7.6923076923076925	0.02058922216404642	3479, 2099, 6655, 5291	26	205	8644	6.487054409005629	0.9520407576170956	0.2812840623804306	0.27743085604645207
KEGG_PATHWAY	hsa01521:EGFR tyrosine kinase inhibitor resistance	3	5.769230769230769	0.02159695845366476	3479, 6655, 5291	26	79	8644	12.625121713729309	0.958733471035944	0.2812840623804306	0.27743085604645207
KEGG_PATHWAY	hsa04012:ErbB signaling pathway	3	5.769230769230769	0.024762459310316738	2069, 6655, 5291	26	85	8644	11.733936651583711	0.9742889418760968	0.2812840623804306	0.27743085604645207
KEGG_PATHWAY	hsa05210:Colorectal cancer	3	5.769230769230769	0.02530758965240044	2069, 6655, 5291	26	86	8644	11.597495527728086	0.9763044215446621	0.2812840623804306	0.27743085604645207
KEGG_PATHWAY	hsa04211:Longevity regulating pathway	3	5.769230769230769	0.026972444337849507	3479, 7248, 5291	26	89	8644	11.206568712186689	0.98153835653527	0.2812840623804306	0.27743085604645207
KEGG_PATHWAY	hsa05215:Prostate cancer	3	5.769230769230769	0.0316227945032823	3479, 6655, 5291	26	97	8644	10.282315622521809	0.9908271248794422	0.3077951998319477	0.3035788272315101
KEGG_PATHWAY	hsa04914:Progesterone-mediated oocyte maturation	3	5.769230769230769	0.03467976288179103	3479, 64506, 5291	26	102	8644	9.778280542986426	0.9942186935397116	0.3164528362963432	0.3121178659361193
KEGG_PATHWAY	hsa04722:Neurotrophin signaling pathway	3	5.769230769230769	0.045885579842905255	6655, 9252, 5291	26	119	8644	8.381383322559794	0.9989488441474481	0.3584234292604113	0.35351351927054264
KEGG_PATHWAY	hsa04935:Growth hormone synthesis, secretion and action	3	5.769230769230769	0.04658190765859744	3479, 6655, 5291	26	120	8644	8.311538461538461	0.9990551240621146	0.3584234292604113	0.35351351927054264
KEGG_PATHWAY	hsa04152:AMPK signaling pathway	3	5.769230769230769	0.047282192303795795	3479, 7248, 5291	26	121	8644	8.24284806102988	0.9991512392209212	0.3584234292604113	0.35351351927054264
