K04445	#FFD700,black
K04503	#FFFFCC,black
K17454	#FFFFCC,black
K11256	#FFFFCC,black
K01110	#FFFFCC,black
K10151	#FA8072,black
K08550	#FFB6C1,black
K05459	#FFB6C1,black
K04261	#FFB6C1,black
K08367	#FFB6C1,black
K04639	#FFB6C1,black
K06487	#FFB6C1,black
K04492	#FFB6C1,black
K11224	#FFB6C1,black
K03175	#FFB6C1,black
K08046	#FFE4E1,black
K04385	#FFE4E1,black
K16341	#FFE4E1,black
K09288	#FFE4E1,black
K06624	#FFE4E1,black
K04189	#FFE4E1,black
K04198	#FFE4E1,black
K18497	#FFE4E1,black
K02329	#FFE4E1,black
K02354	#FFE4E1,black
K04634	#FFE4E1,black
K06231	#FFE4E1,black
K05087	#FFE4E1,black
K05406	#FFE4E1,black
K05429	#FFE4E1,black
K05719	#FFE4E1,black
K04448	#FFE4E1,black
K05461	#FFE4E1,black
K05099	#FFE4E1,black
K09455	#FFE4E1,black
K04513	#FFE4E1,black
K03875	#FFE4E1,black
K23605	#FFE4E1,black
