K04445 RPS6KA5
K17454 E2F1
K04503 CCND1
K01110 PTEN
K11256 NCOA3
K10151 CCND2
K08550 ESR1
K08367 RUNX1
K10053 RUNX1T1
K04261 PTGER4
K05087 IGF1R
K05459 IGF1
K04639 GNA13
K06487 ITGAV
K04492 LEF1
K00922 PIK3CA_B_D
K11224 STAT5B
K03175 TRAF6
K04189 CXCR4
K06624 CDKN1B
K09288 CCDC6
K04513 RHOA
K16341 BCL2L11
K03875 SKP2
K04385 AXIN2
K18497 FGF2
K22428 FGF23
K22429 FGF21
K23605 SMAD3
K02329 FZD3
K02354 FZD4
K04634 GNAQ
K08046 ADCY6
K06231 HHIP
K04198 EDNRB
K05087 IGF1R
K05406 IL12A
K05065 IL23R
K05068 IL2RA
K05069 IL2RB
K05070 IL2RG
K05426 IL23A
K05429 IL2
K05719 ITGB1
K04448 JUN
K05461 KITLG
K05099 MET
K09455 MITF
