"miRNA ID","miRNA Name","Target Gene IDs","Target Gene Names"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000006062","MAP3K14"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000011485","PPP5C"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000017427","IGF1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000019991","HGF"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000026103","FAS"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000049130","KITLG"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000055208","TAB2"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000070831","CDC42"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000071054","MAP4K4"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000072062","PRKACA"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000077150","NFKB2"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000077782","FGFR1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000085511","MAP3K4"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000092969","TGFB2"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000099860","GADD45B"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000100030","MAPK1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000100485","SOS2"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000100614","PPM1A"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000100784","RPS6KA5"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000101109","STK4"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000102678","FGF9"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000102755","FLT1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000104365","IKBKB"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000104856","RELB"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000105976","MET"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000106211","HSPB1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000107968","MAP3K8"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000108861","DUSP3"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000109320","NFKB1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000109756","RAPGEF2"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000111266","DUSP16"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000112062","MAPK14"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000112715","VEGFA"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000115904","SOS1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000116717","GADD45A"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000117020","AKT3"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000117632","STMN1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000120129","DUSP1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000120156","TEK"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000123358","NR4A1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000125538","IL1B"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000125952","MAX"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000126458","RRAS"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000126767","ELK1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000126803","HSPA2"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000127314","RAP1B"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000128340","RAC2"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000130222","GADD45G"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000133703","KRAS"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000133818","RRAS2"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000134853","PDGFRA"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000135090","TAOK3"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000135341","MAP3K7"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000136068","FLNB"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000136238","RAC1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000136997","MYC"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000138166","DUSP5"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000138685","FGF2"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000138834","MAPK8IP3"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000140285","FGF7"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000141480","ARRB2"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000141510","TP53"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000143507","DUSP10"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000145431","PDGFC"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000146648","EGFR"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000153233","PTPRR"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000155903","RASA2"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000157764","BRAF"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000160551","TAOK1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000162889","MAPKAPK2"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000163513","TGFBR2"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000164086","DUSP7"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000167193","CRK"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000167244","IGF2"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000169967","MAP3K2"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000170345","FOS"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000172380","GNG12"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000172575","RASGRP1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000172936","MYD88"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000173039","RELA"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000173110","HSPA6"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000173511","VEGFB"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000175104","TRAF6"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000175197","DDIT3"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000177189","RPS6KA3"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000177606","JUN"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000180370","PAK2"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000182389","CACNB4"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000182578","CSF1R"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000196083","IL1RAP"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000196712","NF1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000196924","FLNA"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000198001","IRAK4"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000232810","TNF"
