"miRNA ID","miRNA Name","Target Gene IDs","Target Gene Names"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000003402","CFLAR"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000006062","MAP3K14"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000010671","BTK"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000023445","BIRC3"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000055208","TAB2"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000070770","CSNK2A2"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000077150","NFKB2"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000081041","CXCL2"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000083799","CYLD"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000090339","ICAM1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000095585","BLNK"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000099860","GADD45B"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000100065","CARD10"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000101266","CSNK2A1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000101966","XIAP"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000102245","CD40LG"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000104365","IKBKB"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000104856","RELB"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000107201","DDX58"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000109320","NFKB1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000116717","GADD45A"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000118503","TNFAIP3"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000125538","IL1B"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000130222","GADD45G"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000131323","TRAF3"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000135341","MAP3K7"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000136869","TLR4"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000157625","TAB3"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000162692","VCAM1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000163739","CXCL1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000169429","CXCL8"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000171791","BCL2"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000172175","MALT1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000172936","MYD88"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000173039","RELA"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000175104","TRAF6"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000198001","IRAK4"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000198286","CARD11"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000204435","CSNK2B"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000226979","LTA"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000232810","TNF"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000254087","LYN"
