"miRNA ID","miRNA Name","Target Gene IDs","Target Gene Names"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000005884","ITGA3"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000017427","IGF1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000019991","HGF"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000041982","TNC"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000049130","KITLG"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000063046","EIF4B"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000065243","PKN2"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000077238","IL4R"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000077782","FGFR1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000078369","GNB1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000081052","COL4A4"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000082701","GSK3B"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000082781","ITGB5"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000091409","ITGA6"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000096384","HSP90AB1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000096968","JAK2"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000100030","MAPK1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000100485","SOS2"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000100889","PCK2"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000102678","FGF9"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000102755","FLT1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000103197","TSC2"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000104205","SGK3"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000104365","IKBKB"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000104432","IL7"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000104695","PPP2CB"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000104812","GYS1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000105401","CDC37"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000105568","PPP2R1A"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000105810","CDK6"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000105976","MET"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000106615","RHEB"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000107175","CREB3"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000108443","RPS6KB1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000108953","YWHAE"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000109320","NFKB1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000110092","CCND1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000111276","CDKN1B"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000112715","VEGFA"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000114450","GNB4"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000115232","ITGA4"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000115414","FN1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000115904","SOS1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000117020","AKT3"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000118260","CREB1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000118513","MYB"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000118689","FOXO3"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000120156","TEK"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000121879","PIK3CA"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000123358","NR4A1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000123374","CDK2"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000124762","CDKN1A"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000127920","GNG11"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000128245","YWHAH"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000132470","ITGB4"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000133703","KRAS"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000134853","PDGFRA"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000134871","COL4A2"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000135446","CDK4"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000135679","MDM2"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000135862","LAMC1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000135930","EIF4E2"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000136238","RAC1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000136244","IL6"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000136869","TLR4"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000136997","MYC"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000137154","RPS6"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000137713","PPP2R1B"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000137801","THBS1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000138448","ITGAV"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000138685","FGF2"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000140285","FGF7"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000141510","TP53"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000142166","IFNAR1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000143384","MCL1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000145431","PDGFC"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000145623","OSMR"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000146648","EGFR"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000150093","ITGB1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000153094","BCL2L11"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000160712","IL6R"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000162434","JAK1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000163359","COL6A3"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000164692","COL1A2"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000164867","NOS3"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000164924","YWHAZ"
