"miRNA ID","miRNA Name","Target Gene IDs","Target Gene Names"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000064012","CASP8"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000106366","SERPINE1"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000110092","CCND1"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000113328","CCNG1"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000118971","CCND2"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000120868","APAF1"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000120889","TNFRSF10B"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000124762","CDKN1A"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000130766","SESN2"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000134057","CCNB1"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000135446","CDK4"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000135679","MDM2"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000138764","CCNG2"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000141510","TP53"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000141682","PMAIP1"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000146674","IGFBP3"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000149212","SESN3"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000149547","EI24"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000163743","RCHY1"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000171552","BCL2L1"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000171791","BCL2"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000171848","RRM2"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000171862","PTEN"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000198625","MDM4"
