"miRNA ID","miRNA Name","Target Gene IDs","Target Gene Names"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000040199","PHLPP2"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000053747","LAMA3"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000065243","PKN2"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000078304","PPP2R5C"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000082701","GSK3B"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000100030","MAPK1"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000100485","SOS2"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000103479","RBL2"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000104812","GYS1"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000105568","PPP2R1A"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000105855","ITGB8"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000110092","CCND1"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000111276","CDKN1B"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000112715","VEGFA"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000112769","LAMA4"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000113494","PRLR"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000113575","PPP2CA"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000115966","ATF2"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000117020","AKT3"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000117461","PIK3R3"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000118046","STK11"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000118971","CCND2"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000124762","CDKN1A"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000128245","YWHAH"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000134308","YWHAQ"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000134871","COL4A2"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000135446","CDK4"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000135679","MDM2"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000135862","LAMC1"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000136238","RAC1"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000136997","MYC"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000138448","ITGAV"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000138675","FGF5"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000140443","IGF1R"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000140992","PDPK1"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000141510","TP53"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000142166","IFNAR1"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000142208","AKT1"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000143384","MCL1"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000143590","EFNA3"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000145675","PIK3R1"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000146592","CREB5"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000153094","BCL2L11"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000154001","PPP2R5E"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000156475","PPP2R2B"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000157404","KIT"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000159110","IFNAR2"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000160741","CRTC2"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000162409","PRKAA2"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000162434","JAK1"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000164692","COL1A2"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000164924","YWHAZ"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000166913","YWHAB"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000169031","COL4A3"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000171552","BCL2L1"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000171791","BCL2"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000171862","PTEN"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000172380","GNG12"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000177885","GRB2"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000184371","CSF1"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000198793","MTOR"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000213281","NRAS"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000221914","PPP2R2A"
"MIMAT0000070","hsa-miR-17-5p","ENSG00000259207","ITGB3"
