"miRNA ID","miRNA Name","Target Gene IDs","Target Gene Names"
"MIMAT0000072","hsa-miR-18a-5p","ENSG00000110092","CCND1"
"MIMAT0000072","hsa-miR-18a-5p","ENSG00000113328","CCNG1"
"MIMAT0000072","hsa-miR-18a-5p","ENSG00000115107","STEAP3"
"MIMAT0000072","hsa-miR-18a-5p","ENSG00000118971","CCND2"
"MIMAT0000072","hsa-miR-18a-5p","ENSG00000124762","CDKN1A"
"MIMAT0000072","hsa-miR-18a-5p","ENSG00000134057","CCNB1"
"MIMAT0000072","hsa-miR-18a-5p","ENSG00000135446","CDK4"
"MIMAT0000072","hsa-miR-18a-5p","ENSG00000135679","MDM2"
"MIMAT0000072","hsa-miR-18a-5p","ENSG00000141682","PMAIP1"
"MIMAT0000072","hsa-miR-18a-5p","ENSG00000164054","SHISA5"
"MIMAT0000072","hsa-miR-18a-5p","ENSG00000170836","PPM1D"
"MIMAT0000072","hsa-miR-18a-5p","ENSG00000171848","RRM2"
"MIMAT0000072","hsa-miR-18a-5p","ENSG00000172667","ZMAT3"
