"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT000703","hsa","hsa","hsa-miR-18a-5p","ESR1","1","1","1","1","1","0","1","0","6","4"
"MIRT000792","hsa","hsa","hsa-miR-18a-5p","IGF2BP2","0","0","0","1","0","0","0","0","1","1"
"MIRT003370","hsa","hsa","hsa-miR-18a-5p","PTEN","1","1","1","0","0","0","1","0","4","2"
"MIRT004174","hsa","hsa","hsa-miR-18a-5p","CTGF","1","1","0","1","0","0","1","0","4","3"
"MIRT004311","hsa","hsa","hsa-miR-18a-5p","NCOA3","0","1","0","0","0","0","1","0","2","1"
"MIRT004383","hsa","hsa","hsa-miR-18a-5p","CCNL1","0","0","0","1","0","0","1","0","2","1"
"MIRT004384","hsa","hsa","hsa-miR-18a-5p","SPPL3","0","0","0","0","0","0","1","0","1","1"
"MIRT004385","hsa","hsa","hsa-miR-18a-5p","CSRNP3","0","0","0","1","0","0","1","0","2","1"
"MIRT004386","hsa","hsa","hsa-miR-18a-5p","THRA","0","0","0","1","0","0","1","0","2","1"
"MIRT004387","hsa","hsa","hsa-miR-18a-5p","TNFSF11","1","0","0","1","0","0","1","0","3","1"
"MIRT004545","hsa","hsa","hsa-miR-18a-5p","NR3C1","1","1","0","0","0","0","1","0","3","1"
"MIRT004547","hsa","hsa","hsa-miR-18a-5p","TSC22D3","0","0","1","0","1","0","1","1","4","5"
"MIRT004569","hsa","hsa","hsa-miR-18a-5p","BCL2L11","0","0","0","0","0","0","1","0","1","2"
"MIRT004587","hsa","hsa","hsa-miR-18a-5p","HIF1A","1","1","1","0","1","0","0","1","5","8"
"MIRT004592","hsa","hsa","hsa-miR-18a-5p","TGFBR2","1","0","0","1","0","0","1","0","3","2"
"MIRT004665","hsa","rno","hsa-miR-18a-5p","Prmt5","0","1","1","1","0","0","1","0","4","1"
"MIRT004666","hsa","rno","hsa-miR-18a-5p","Myc","0","1","1","1","0","0","1","0","4","1"
"MIRT004736","hsa","hsa","hsa-miR-18a-5p","SMAD4","1","1","1","1","0","0","1","0","5","1"
"MIRT005361","hsa","hsa","hsa-miR-18a-5p","HSF2","1","1","1","0","0","0","1","0","4","1"
"MIRT006118","hsa","hsa","hsa-miR-18a-5p","ATM","1","1","1","0","1","0","0","1","5","9"
"MIRT006613","mmu","mmu","hsa-miR-18a-5p","Smad2","1","1","1","0","0","0","0","0","3","1"
"MIRT006614","mmu","mmu","hsa-miR-18a-5p","Smad4","1","1","1","0","0","0","0","0","3","1"
"MIRT006817","hsa","hsa","hsa-miR-18a-5p","NEDD9","0","1","1","0","0","0","0","0","2","1"
"MIRT006818","hsa","hsa","hsa-miR-18a-5p","CDK19","0","1","1","0","0","0","0","0","2","1"
"MIRT007178","hsa","hsa","hsa-miR-18a-5p","DICER1","1","1","1","1","1","0","0","0","5","2"
"MIRT007323","hsa","hsa","hsa-miR-18a-5p","SMAD3","0","1","0","0","0","0","0","0","1","1"
"MIRT031310","hsa","hsa","hsa-miR-18a-5p","THBS1","0","0","0","0","0","0","1","0","1","1"
"MIRT031311","hsa","hsa","hsa-miR-18a-5p","ZFAND5","0","0","0","0","1","0","0","0","1","1"
"MIRT031312","hsa","hsa","hsa-miR-18a-5p","LMNB2","0","0","0","0","1","0","0","0","1","1"
"MIRT031313","hsa","hsa","hsa-miR-18a-5p","FAM127B","0","0","0","0","1","0","0","0","1","1"
"MIRT031314","hsa","hsa","hsa-miR-18a-5p","PAFAH1B1","0","0","0","0","1","0","0","0","1","1"
"MIRT031315","hsa","hsa","hsa-miR-18a-5p","RAB23","0","0","0","0","1","0","0","0","1","1"
"MIRT031316","hsa","hsa","hsa-miR-18a-5p","MID1","0","0","0","0","1","0","0","0","1","1"
"MIRT031317","hsa","hsa","hsa-miR-18a-5p","ZNF711","0","0","0","0","1","0","0","0","1","1"
"MIRT031318","hsa","hsa","hsa-miR-18a-5p","MOB4","0","0","0","0","1","0","0","0","1","1"
"MIRT031319","hsa","hsa","hsa-miR-18a-5p","SON","0","0","0","0","1","0","0","0","1","1"
"MIRT031320","hsa","hsa","hsa-miR-18a-5p","SLC36A1","0","0","0","0","1","0","0","0","1","1"
