"miRNA ID","miRNA Name","Target Gene IDs","Target Gene Names"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000011566","MAP4K3"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000026103","FAS"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000034152","MAP2K3"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000055208","TAB2"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000066468","FGFR2"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000067182","TNFRSF1A"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000087095","NLK"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000095015","MAP3K1"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000100030","MAPK1"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000100614","PPM1A"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000101109","STK4"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000102755","FLT1"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000105221","AKT2"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000107643","MAPK8"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000109339","MAPK10"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000109756","RAPGEF2"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000112062","MAPK14"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000115594","IL1R1"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000115904","SOS1"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000115966","ATF2"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000116473","RAP1A"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000117632","STMN1"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000126803","HSPA2"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000130522","JUND"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000132155","RAF1"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000133703","KRAS"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000138166","DUSP5"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000138685","FGF2"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000138814","PPP3CA"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000140285","FGF7"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000140443","IGF1R"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000141510","TP53"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000141736","ERBB2"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000142208","AKT1"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000142875","PRKACB"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000145715","RASA1"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000148053","NTRK2"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000153956","CACNA2D1"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000157404","KIT"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000157764","BRAF"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000158711","ELK4"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000160551","TAOK1"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000163513","TGFBR2"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000164086","DUSP7"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000164305","CASP3"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000169967","MAP3K2"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000178568","ERBB4"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000196083","IL1RAP"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000196712","NF1"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000213281","NRAS"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000221823","PPP3R1"
