"miRNA ID","miRNA Name","Target Gene IDs","Target Gene Names"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000051382","PIK3CB"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000066027","PPP2R5A"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000066468","FGFR2"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000082701","GSK3B"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000091409","ITGA6"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000100030","MAPK1"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000100385","IL2RB"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000102755","FLT1"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000105221","AKT2"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000105855","ITGB8"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000108953","YWHAE"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000110092","CCND1"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000111276","CDKN1B"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000113494","PRLR"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000113575","PPP2CA"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000115414","FN1"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000115904","SOS1"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000115966","ATF2"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000117461","PIK3R3"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000118260","CREB1"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000118515","SGK1"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000118689","FOXO3"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000118971","CCND2"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000124762","CDKN1A"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000132155","RAF1"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000132356","PRKAA1"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000133703","KRAS"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000135679","MDM2"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000135862","LAMC1"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000135930","EIF4E2"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000137713","PPP2R1B"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000137801","THBS1"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000138685","FGF2"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000140285","FGF7"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000140443","IGF1R"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000141506","PIK3R5"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000141510","TP53"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000141736","ERBB2"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000142173","COL6A2"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000142208","AKT1"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000145675","PIK3R1"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000148053","NTRK2"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000150093","ITGB1"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000151247","EIF4E"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000153094","BCL2L11"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000154001","PPP2R5E"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000157404","KIT"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000164692","COL1A2"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000166598","HSP90B1"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000168209","DDIT4"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000169047","IRS1"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000170027","YWHAG"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000171862","PTEN"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000175305","CCNE2"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000178568","ERBB4"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000181104","F2R"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000213281","NRAS"
"MIMAT0000073","hsa-miR-19a-3p","ENSG00000221914","PPP2R2A"
