"miRNA ID","miRNA Name","Target Gene IDs","Target Gene Names"
"MIMAT0000074","hsa-miR-19b-3p","ENSG00000026103","FAS"
"MIMAT0000074","hsa-miR-19b-3p","ENSG00000110092","CCND1"
"MIMAT0000074","hsa-miR-19b-3p","ENSG00000115107","STEAP3"
"MIMAT0000074","hsa-miR-19b-3p","ENSG00000118971","CCND2"
"MIMAT0000074","hsa-miR-19b-3p","ENSG00000120889","TNFRSF10B"
"MIMAT0000074","hsa-miR-19b-3p","ENSG00000124762","CDKN1A"
"MIMAT0000074","hsa-miR-19b-3p","ENSG00000134057","CCNB1"
"MIMAT0000074","hsa-miR-19b-3p","ENSG00000135679","MDM2"
"MIMAT0000074","hsa-miR-19b-3p","ENSG00000137801","THBS1"
"MIMAT0000074","hsa-miR-19b-3p","ENSG00000138764","CCNG2"
"MIMAT0000074","hsa-miR-19b-3p","ENSG00000141510","TP53"
"MIMAT0000074","hsa-miR-19b-3p","ENSG00000146674","IGFBP3"
"MIMAT0000074","hsa-miR-19b-3p","ENSG00000149212","SESN3"
"MIMAT0000074","hsa-miR-19b-3p","ENSG00000149554","CHEK1"
"MIMAT0000074","hsa-miR-19b-3p","ENSG00000164054","SHISA5"
"MIMAT0000074","hsa-miR-19b-3p","ENSG00000164305","CASP3"
"MIMAT0000074","hsa-miR-19b-3p","ENSG00000171862","PTEN"
"MIMAT0000074","hsa-miR-19b-3p","ENSG00000172667","ZMAT3"
"MIMAT0000074","hsa-miR-19b-3p","ENSG00000175305","CCNE2"
"MIMAT0000074","hsa-miR-19b-3p","ENSG00000184990","SIVA1"
"MIMAT0000074","hsa-miR-19b-3p","ENSG00000198625","MDM4"
