"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT001164","hsa","hsa","hsa-miR-19b-3p","NR3C2","0","0","0","0","1","0","0","0","1","1"
"MIRT001793","hsa","hsa","hsa-miR-19b-3p","BACE1","1","0","0","0","0","0","1","0","2","1"
"MIRT003371","hsa","hsa","hsa-miR-19b-3p","PTEN","1","1","1","0","1","0","1","0","5","6"
"MIRT003780","hsa","hsa","hsa-miR-19b-3p","ATXN1","1","1","1","0","1","0","1","0","5","3"
"MIRT004064","hsa","hsa","hsa-miR-19b-3p","HIPK3","1","0","0","0","1","0","1","0","3","2"
"MIRT004065","hsa","hsa","hsa-miR-19b-3p","ARID4B","1","0","0","0","1","0","1","0","3","2"
"MIRT004066","hsa","hsa","hsa-miR-19b-3p","MYLIP","1","0","0","0","0","0","1","0","2","1"
"MIRT004309","hsa","hsa","hsa-miR-19b-3p","ESR1","1","1","1","0","0","0","1","0","4","1"
"MIRT004310","hsa","hsa","hsa-miR-19b-3p","NCOA3","0","1","0","0","0","0","1","0","2","1"
"MIRT004335","hsa","hsa","hsa-miR-19b-3p","KAT2B","1","1","0","0","0","0","1","0","3","1"
"MIRT004336","hsa","hsa","hsa-miR-19b-3p","SOCS1","1","1","0","0","1","0","1","1","5","6"
"MIRT004523","hsa","hsa","hsa-miR-19b-3p","BCL2L11","1","0","0","0","0","0","1","0","2","2"
"MIRT004590","hsa","hsa","hsa-miR-19b-3p","HIF1A","0","0","0","0","0","0","0","0","0","1"
"MIRT004594","hsa","hsa","hsa-miR-19b-3p","TGFBR2","1","1","1","1","1","0","1","1","7","10"
"MIRT004933","hsa","hsa","hsa-miR-19b-3p","BMPR2","1","1","1","0","1","0","1","0","5","3"
"MIRT006476","hsa","hsa","hsa-miR-19b-3p","CUL5","0","1","1","0","0","0","0","0","2","1"
"MIRT006647","hsa","hsa","hsa-miR-19b-3p","TLR2","1","1","1","0","0","0","0","0","3","1"
"MIRT006742","hsa","hsa","hsa-miR-19b-3p","PRKAA1","1","0","0","0","1","0","0","0","2","3"
"MIRT006743","hsa","hsa","hsa-miR-19b-3p","PPP2R5E","1","0","0","0","1","0","0","1","3","3"
"MIRT007271","hsa","hsa","hsa-miR-19b-3p","CYP19A1","1","0","0","0","0","0","0","0","1","1"
"MIRT007272","hsa","hsa","hsa-miR-19b-3p","GCM1","1","0","0","0","0","0","0","0","1","1"
"MIRT031084","hsa","hsa","hsa-miR-19b-3p","CTGF","0","0","0","0","0","0","1","0","1","1"
"MIRT031085","hsa","hsa","hsa-miR-19b-3p","HMGCS1","0","0","0","0","1","0","0","0","1","1"
"MIRT031086","hsa","hsa","hsa-miR-19b-3p","ZNF417","0","0","0","0","1","0","0","0","1","1"
"MIRT031087","hsa","hsa","hsa-miR-19b-3p","ZNF567","0","0","0","0","1","0","0","0","1","1"
"MIRT031088","hsa","hsa","hsa-miR-19b-3p","MRPL19","0","0","0","0","1","0","0","0","1","1"
"MIRT031089","hsa","hsa","hsa-miR-19b-3p","RPA2","0","0","0","0","1","0","0","0","1","1"
"MIRT031090","hsa","hsa","hsa-miR-19b-3p","HOXC8","0","0","0","0","1","0","0","0","1","1"
"MIRT031091","hsa","hsa","hsa-miR-19b-3p","KCTD20","0","0","0","0","1","0","0","0","1","1"
"MIRT031092","hsa","hsa","hsa-miR-19b-3p","NDEL1","0","0","0","0","1","0","0","0","1","1"
"MIRT031093","hsa","hsa","hsa-miR-19b-3p","THOP1","0","0","0","0","1","0","0","0","1","1"
"MIRT031094","hsa","hsa","hsa-miR-19b-3p","SESTD1","0","0","0","0","1","0","0","0","1","1"
"MIRT031095","hsa","hsa","hsa-miR-19b-3p","DYNLL2","0","0","0","0","1","0","0","0","1","1"
"MIRT031096","hsa","hsa","hsa-miR-19b-3p","SMCR8","0","0","0","0","1","0","0","0","1","1"
"MIRT031097","hsa","hsa","hsa-miR-19b-3p","RASSF1","0","0","0","0","1","0","0","0","1","1"
"MIRT031098","hsa","hsa","hsa-miR-19b-3p","RAB5B","0","0","0","0","1","0","0","1","2","9"
"MIRT031099","hsa","hsa","hsa-miR-19b-3p","HHEX","0","0","0","0","1","0","0","0","1","1"
"MIRT031100","hsa","hsa","hsa-miR-19b-3p","ELOVL4","0","0","0","0","1","0","0","0","1","1"
"MIRT031101","hsa","hsa","hsa-miR-19b-3p","PALLD","0","0","0","0","1","0","0","0","1","1"
"MIRT031102","hsa","hsa","hsa-miR-19b-3p","MOSPD2","0","0","0","0","1","0","0","0","1","1"
"MIRT031103","hsa","hsa","hsa-miR-19b-3p","ANKRD10","0","0","0","0","1","0","0","0","1","1"
"MIRT031104","hsa","hsa","hsa-miR-19b-3p","RAB34","0","0","0","0","1","0","0","1","2","3"
"MIRT031105","hsa","hsa","hsa-miR-19b-3p","YTHDC1","0","0","0","0","1","0","0","0","1","1"
"MIRT031106","hsa","hsa","hsa-miR-19b-3p","KATNAL1","0","0","0","0","1","0","0","0","1","2"
"MIRT031107","hsa","hsa","hsa-miR-19b-3p","NACC2","0","0","0","0","1","0","0","1","2","4"
"MIRT031108","hsa","hsa","hsa-miR-19b-3p","ARHGAP12","0","0","0","0","1","0","0","1","2","5"
"MIRT031109","hsa","hsa","hsa-miR-19b-3p","CENPN","0","0","0","0","1","0","0","0","1","1"
"MIRT031110","hsa","hsa","hsa-miR-19b-3p","PRKACB","0","0","0","0","1","0","0","1","2","3"
"MIRT031111","hsa","hsa","hsa-miR-19b-3p","LPGAT1","0","0","0","0","1","0","0","0","1","1"
"MIRT031112","hsa","hsa","hsa-miR-19b-3p","SIX4","0","0","0","0","1","0","0","0","1","1"
"MIRT031113","hsa","hsa","hsa-miR-19b-3p","SLAIN1","0","0","0","0","1","0","0","0","1","1"
"MIRT031114","hsa","hsa","hsa-miR-19b-3p","HIPK1","1","1","1","1","1","0","0","0","5","2"
"MIRT031115","hsa","hsa","hsa-miR-19b-3p","DNAJA2","0","0","0","0","1","0","0","0","1","1"
"MIRT031116","hsa","hsa","hsa-miR-19b-3p","TRIM2","0","0","0","0","1","0","0","0","1","1"
"MIRT031117","hsa","hsa","hsa-miR-19b-3p","DMXL2","0","0","0","0","1","0","0","0","1","2"
"MIRT031118","hsa","hsa","hsa-miR-19b-3p","CCNL1","0","0","0","0","1","0","0","1","2","8"
"MIRT031119","hsa","hsa","hsa-miR-19b-3p","SECISBP2L","0","0","0","0","1","0","0","1","2","5"
"MIRT031120","hsa","hsa","hsa-miR-19b-3p","PATL1","0","0","0","0","1","0","0","1","2","7"
"MIRT031121","hsa","hsa","hsa-miR-19b-3p","TES","0","0","0","0","1","0","0","0","1","1"
"MIRT031122","hsa","hsa","hsa-miR-19b-3p","ATM","0","0","0","0","1","0","0","0","1","1"
"MIRT031123","hsa","hsa","hsa-miR-19b-3p","ARL6IP1","0","0","0","0","1","0","0","0","1","1"
"MIRT031124","hsa","hsa","hsa-miR-19b-3p","NR3C1","0","0","0","0","1","0","0","0","1","1"
"MIRT031125","hsa","hsa","hsa-miR-19b-3p","LRIG3","0","0","0","0","1","0","0","0","1","1"
"MIRT031126","hsa","hsa","hsa-miR-19b-3p","SNAPIN","0","0","0","0","1","0","0","0","1","1"
"MIRT031127","hsa","hsa","hsa-miR-19b-3p","LRP8","0","0","0","0","1","0","0","0","1","1"
"MIRT031128","hsa","hsa","hsa-miR-19b-3p","EGLN3","0","0","0","0","1","0","0","0","1","1"
"MIRT031129","hsa","hsa","hsa-miR-19b-3p","XYLT2","0","0","0","0","1","0","0","0","1","1"
"MIRT031130","hsa","hsa","hsa-miR-19b-3p","ADRM1","0","0","0","0","1","0","0","1","2","3"
"MIRT031131","hsa","hsa","hsa-miR-19b-3p","NDUFB2","0","0","0","0","1","0","0","0","1","1"
"MIRT031132","hsa","hsa","hsa-miR-19b-3p","TRPC3","0","0","0","0","1","0","0","1","2","4"
"MIRT031133","hsa","hsa","hsa-miR-19b-3p","SLC44A1","0","0","0","0","1","0","0","0","1","1"
"MIRT031134","hsa","hsa","hsa-miR-19b-3p","BAHD1","0","0","0","0","1","0","0","0","1","1"
"MIRT031135","hsa","hsa","hsa-miR-19b-3p","SGTB","0","0","0","0","1","0","0","0","1","1"
"MIRT031136","hsa","hsa","hsa-miR-19b-3p","PDZD11","0","0","0","0","1","0","0","0","1","1"
"MIRT031137","hsa","hsa","hsa-miR-19b-3p","SEC23B","0","0","0","0","1","0","0","0","1","1"
"MIRT031138","hsa","hsa","hsa-miR-19b-3p","TBC1D4","0","0","0","0","1","0","0","0","1","1"
"MIRT031139","hsa","hsa","hsa-miR-19b-3p","TBC1D25","0","0","0","0","1","0","0","0","1","1"
"MIRT031140","hsa","hsa","hsa-miR-19b-3p","HARS","0","0","0","0","1","0","0","0","1","1"
"MIRT031141","hsa","hsa","hsa-miR-19b-3p","COX10","0","0","0","0","1","0","0","1","2","8"
"MIRT031142","hsa","hsa","hsa-miR-19b-3p","MAPRE3","0","0","0","0","1","0","0","0","1","1"
"MIRT031143","hsa","hsa","hsa-miR-19b-3p","SUV420H1","0","0","0","0","1","0","0","0","1","1"
"MIRT031144","hsa","hsa","hsa-miR-19b-3p","CDK19","0","0","0","0","1","0","0","0","1","1"
"MIRT031145","hsa","hsa","hsa-miR-19b-3p","KCTD10","0","0","0","0","1","0","0","1","2","5"
"MIRT031146","hsa","hsa","hsa-miR-19b-3p","PTP4A1","0","0","0","0","1","0","0","0","1","1"
"MIRT031147","hsa","hsa","hsa-miR-19b-3p","MAP7","0","0","0","0","1","0","0","0","1","1"
"MIRT031148","hsa","hsa","hsa-miR-19b-3p","CSNK1G1","0","0","0","0","1","0","0","0","1","1"
"MIRT031149","hsa","hsa","hsa-miR-19b-3p","WDR33","0","0","0","0","1","0","0","0","1","1"
"MIRT031150","hsa","hsa","hsa-miR-19b-3p","PDRG1","0","0","0","0","1","0","0","1","2","10"
"MIRT031151","hsa","hsa","hsa-miR-19b-3p","PSMD9","0","0","0","0","1","0","0","0","1","1"
"MIRT031152","hsa","hsa","hsa-miR-19b-3p","OTUD4","0","0","0","0","1","0","0","0","1","2"
"MIRT031153","hsa","hsa","hsa-miR-19b-3p","ZCCHC14","0","0","0","0","1","0","0","0","1","1"
"MIRT031154","hsa","hsa","hsa-miR-19b-3p","DERL1","0","0","0","0","1","0","0","0","1","1"
"MIRT031155","hsa","hsa","hsa-miR-19b-3p","ATP6V1C1","0","0","0","0","1","0","0","0","1","1"
"MIRT031156","hsa","hsa","hsa-miR-19b-3p","SMAD4","1","0","0","0","1","0","0","1","3","7"
"MIRT031157","hsa","hsa","hsa-miR-19b-3p","TMEM9B","0","0","0","0","1","0","0","0","1","2"
"MIRT031158","hsa","hsa","hsa-miR-19b-3p","ZMYM2","0","0","0","0","1","0","0","0","1","1"
"MIRT031159","hsa","hsa","hsa-miR-19b-3p","GMEB2","0","0","0","0","1","0","0","0","1","1"
"MIRT031160","hsa","hsa","hsa-miR-19b-3p","CD46","0","0","0","0","1","0","0","0","1","1"
"MIRT031161","hsa","hsa","hsa-miR-19b-3p","AP3S2","0","0","0","0","1","0","0","1","2","2"
"MIRT031162","hsa","hsa","hsa-miR-19b-3p","CA13","0","0","0","0","1","0","0","0","1","1"
"MIRT031163","hsa","hsa","hsa-miR-19b-3p","MID1IP1","0","0","0","0","1","0","0","1","2","8"
"MIRT031164","hsa","hsa","hsa-miR-19b-3p","POGZ","0","0","0","0","1","0","0","1","2","3"
"MIRT031165","hsa","hsa","hsa-miR-19b-3p","TRIM59","0","0","0","0","1","0","0","0","1","1"
"MIRT031166","hsa","hsa","hsa-miR-19b-3p","ABHD5","0","0","0","0","1","0","0","1","2","6"
"MIRT031167","hsa","hsa","hsa-miR-19b-3p","SLC35D1","0","0","0","0","1","0","0","0","1","1"
"MIRT031168","hsa","hsa","hsa-miR-19b-3p","PPP6R2","0","0","0","0","1","0","0","0","1","1"
"MIRT031169","hsa","hsa","hsa-miR-19b-3p","PPP1R15B","0","0","0","0","1","0","0","1","2","10"
"MIRT031170","hsa","hsa","hsa-miR-19b-3p","ZNF217","0","0","0","0","1","0","0","0","1","2"
"MIRT031171","hsa","hsa","hsa-miR-19b-3p","ZNF644","0","0","0","0","1","0","0","1","2","3"
"MIRT031172","hsa","hsa","hsa-miR-19b-3p","FBXO28","0","0","0","0","1","0","0","1","2","4"
"MIRT031173","hsa","hsa","hsa-miR-19b-3p","SOGA1","0","0","0","0","1","0","0","0","1","1"
"MIRT031174","hsa","hsa","hsa-miR-19b-3p","MPHOSPH9","0","0","0","0","1","0","0","0","1","1"
"MIRT031175","hsa","hsa","hsa-miR-19b-3p","ZNF721","0","0","0","0","1","0","0","0","1","2"
"MIRT031176","hsa","hsa","hsa-miR-19b-3p","PAPD4","0","0","0","0","1","0","0","1","2","3"
"MIRT031177","hsa","hsa","hsa-miR-19b-3p","ZNF711","0","0","0","0","1","0","0","0","1","1"
"MIRT031178","hsa","hsa","hsa-miR-19b-3p","MB21D2","0","0","0","0","1","0","0","1","2","3"
"MIRT031179","hsa","hsa","hsa-miR-19b-3p","ROR1","0","0","0","0","1","0","0","0","1","1"
"MIRT031180","hsa","hsa","hsa-miR-19b-3p","ENPP5","0","0","0","0","1","0","0","1","2","3"
"MIRT031181","hsa","hsa","hsa-miR-19b-3p","CLIP1","0","0","0","0","1","0","0","1","2","9"
"MIRT031182","hsa","hsa","hsa-miR-19b-3p","HOXA5","0","0","0","0","1","0","0","0","1","1"
"MIRT031183","hsa","hsa","hsa-miR-19b-3p","C16orf70","0","0","0","0","1","0","0","1","2","5"
"MIRT031184","hsa","hsa","hsa-miR-19b-3p","CYP2U1","0","0","0","0","1","0","0","1","2","4"
"MIRT031185","hsa","hsa","hsa-miR-19b-3p","CREB3L2","0","0","0","0","1","0","0","0","1","2"
"MIRT031186","hsa","hsa","hsa-miR-19b-3p","MTRR","0","0","0","0","1","0","0","0","1","1"
"MIRT031187","hsa","hsa","hsa-miR-19b-3p","FAM46A","0","0","0","0","1","0","0","0","1","1"
"MIRT031188","hsa","hsa","hsa-miR-19b-3p","WBP1L","0","0","0","0","1","0","0","0","1","1"
"MIRT031189","hsa","hsa","hsa-miR-19b-3p","STEAP2","0","0","0","0","1","0","0","0","1","1"
"MIRT031190","hsa","hsa","hsa-miR-19b-3p","SON","0","0","0","0","1","0","0","0","1","1"
"MIRT031191","hsa","hsa","hsa-miR-19b-3p","AGO1","0","0","0","0","1","0","0","0","1","2"
"MIRT031192","hsa","hsa","hsa-miR-19b-3p","MBNL1","0","0","0","0","1","0","0","1","2","5"
"MIRT031193","hsa","hsa","hsa-miR-19b-3p","SLC4A7","0","0","0","0","1","0","0","0","1","1"
"MIRT031194","hsa","hsa","hsa-miR-19b-3p","NFIB","0","0","0","0","1","0","0","1","2","5"
"MIRT031195","hsa","hsa","hsa-miR-19b-3p","LDLR","0","0","0","0","1","0","0","1","2","7"
"MIRT031196","hsa","hsa","hsa-miR-19b-3p","TMEM45A","0","0","0","0","1","0","0","0","1","1"
"MIRT031197","hsa","hsa","hsa-miR-19b-3p","CEP350","0","0","0","0","1","0","0","1","2","6"
"MIRT031198","hsa","hsa","hsa-miR-19b-3p","TRIM33","0","0","0","0","1","0","0","1","2","4"
"MIRT031199","hsa","hsa","hsa-miR-19b-3p","PTPRG","0","0","0","0","1","0","0","1","2","3"
"MIRT031200","hsa","hsa","hsa-miR-19b-3p","FBXO8","0","0","0","0","1","0","0","1","2","3"
"MIRT031201","hsa","hsa","hsa-miR-19b-3p","RNF145","0","0","0","0","1","0","0","0","1","1"
"MIRT031202","hsa","hsa","hsa-miR-19b-3p","ZER1","0","0","0","0","1","0","0","0","1","1"
"MIRT031203","hsa","hsa","hsa-miR-19b-3p","ZBTB4","0","0","0","0","1","0","0","1","2","7"
"MIRT031204","hsa","hsa","hsa-miR-19b-3p","SYBU","0","0","0","0","1","0","0","0","1","1"
"MIRT031205","hsa","hsa","hsa-miR-19b-3p","ARRDC3","0","0","0","0","1","0","0","0","1","2"
"MIRT031206","hsa","hsa","hsa-miR-19b-3p","VPS4B","0","0","0","0","1","0","0","0","1","1"
"MIRT031207","hsa","hsa","hsa-miR-19b-3p","C11orf96","0","0","0","0","1","0","0","0","1","1"
"MIRT031208","hsa","hsa","hsa-miR-19b-3p","SEMA4C","0","0","0","0","1","0","0","1","2","8"
"MIRT031209","hsa","hsa","hsa-miR-19b-3p","RAP2C","0","0","0","0","1","0","0","0","1","2"
"MIRT031210","hsa","hsa","hsa-miR-19b-3p","MYCN","1","0","0","0","0","0","0","0","1","1"
"MIRT031211","hsa","hsa","hsa-miR-19b-3p","SLMAP","0","0","0","0","1","0","0","0","1","1"
"MIRT031212","hsa","hsa","hsa-miR-19b-3p","SOCS4","0","0","0","0","1","0","0","0","1","1"
"MIRT031213","hsa","hsa","hsa-miR-19b-3p","RDH11","0","0","0","0","1","0","0","0","1","1"
"MIRT031214","hsa","hsa","hsa-miR-19b-3p","FYCO1","0","0","0","0","1","0","0","0","1","1"
"MIRT031215","hsa","hsa","hsa-miR-19b-3p","ATMIN","0","0","0","0","1","0","0","1","2","6"
"MIRT031216","hsa","hsa","hsa-miR-19b-3p","C12orf66","0","0","0","0","1","0","0","0","1","1"
"MIRT031217","hsa","hsa","hsa-miR-19b-3p","NCKAP5","0","0","0","0","1","0","0","0","1","1"
"MIRT031218","hsa","hsa","hsa-miR-19b-3p","BTBD3","0","0","0","0","1","0","0","0","1","1"
"MIRT031219","hsa","hsa","hsa-miR-19b-3p","SAMD1","0","0","0","0","1","0","0","0","1","1"
"MIRT031220","hsa","hsa","hsa-miR-19b-3p","WBP2","0","0","0","0","1","0","0","0","1","2"
"MIRT031221","hsa","hsa","hsa-miR-19b-3p","CTR9","0","0","0","0","1","0","0","0","1","1"
"MIRT031222","hsa","hsa","hsa-miR-19b-3p","ACPL2","0","0","0","0","1","0","0","0","1","1"
"MIRT031223","hsa","hsa","hsa-miR-19b-3p","TBC1D13","0","0","0","0","1","0","0","0","1","1"
"MIRT031224","hsa","hsa","hsa-miR-19b-3p","GPATCH8","0","0","0","0","1","0","0","0","1","1"
"MIRT031225","hsa","hsa","hsa-miR-19b-3p","KIAA1967","0","0","0","0","1","0","0","0","1","1"
"MIRT031226","hsa","hsa","hsa-miR-19b-3p","HNRNPA1","0","0","0","0","1","0","0","0","1","1"
