"miRNA ID","miRNA Name","Target Gene IDs","Target Gene Names"
"MIMAT0004493","hsa-miR-20a-3p","ENSG00000103197","TSC2"
"MIMAT0004493","hsa-miR-20a-3p","ENSG00000105173","CCNE1"
"MIMAT0004493","hsa-miR-20a-3p","ENSG00000118971","CCND2"
"MIMAT0004493","hsa-miR-20a-3p","ENSG00000120889","TNFRSF10B"
"MIMAT0004493","hsa-miR-20a-3p","ENSG00000124762","CDKN1A"
"MIMAT0004493","hsa-miR-20a-3p","ENSG00000137801","THBS1"
"MIMAT0004493","hsa-miR-20a-3p","ENSG00000157456","CCNB2"
"MIMAT0004493","hsa-miR-20a-3p","ENSG00000164054","SHISA5"
"MIMAT0004493","hsa-miR-20a-3p","ENSG00000164305","CASP3"
"MIMAT0004493","hsa-miR-20a-3p","ENSG00000171552","BCL2L1"
"MIMAT0004493","hsa-miR-20a-3p","ENSG00000171848","RRM2"
