"miRNA ID","miRNA Name","Target Gene IDs","Target Gene Names"
"MIMAT0000076","hsa-miR-21-5p","ENSG00000080546","SESN1"
"MIMAT0000076","hsa-miR-21-5p","ENSG00000110092","CCND1"
"MIMAT0000076","hsa-miR-21-5p","ENSG00000113328","CCNG1"
"MIMAT0000076","hsa-miR-21-5p","ENSG00000118971","CCND2"
"MIMAT0000076","hsa-miR-21-5p","ENSG00000120868","APAF1"
"MIMAT0000076","hsa-miR-21-5p","ENSG00000120889","TNFRSF10B"
"MIMAT0000076","hsa-miR-21-5p","ENSG00000135679","MDM2"
"MIMAT0000076","hsa-miR-21-5p","ENSG00000137801","THBS1"
"MIMAT0000076","hsa-miR-21-5p","ENSG00000138764","CCNG2"
"MIMAT0000076","hsa-miR-21-5p","ENSG00000170836","PPM1D"
"MIMAT0000076","hsa-miR-21-5p","ENSG00000171791","BCL2"
"MIMAT0000076","hsa-miR-21-5p","ENSG00000171862","PTEN"
"MIMAT0000076","hsa-miR-21-5p","ENSG00000172667","ZMAT3"
"MIMAT0000076","hsa-miR-21-5p","ENSG00000206075","SERPINB5"
