"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT000149","hsa","hsa","hsa-miR-210-3p","HOXA9","1","1","1","0","0","0","1","0","4","1"
"MIRT000150","hsa","hsa","hsa-miR-210-3p","TP53I11","1","0","0","0","0","0","1","0","2","1"
"MIRT000151","hsa","hsa","hsa-miR-210-3p","PIM1","1","0","0","0","0","0","1","0","2","1"
"MIRT000152","hsa","hsa","hsa-miR-210-3p","HOXA1","1","0","0","0","0","0","1","0","2","1"
"MIRT000153","hsa","hsa","hsa-miR-210-3p","FGFRL1","1","1","1","1","1","0","1","0","6","3"
"MIRT000156","hsa","hsa","hsa-miR-210-3p","RAD52","1","1","1","1","0","0","1","0","5","3"
"MIRT001930","hsa","hsa","hsa-miR-210-3p","NPTX1","1","0","1","0","0","0","1","0","3","2"
"MIRT002024","hsa","hsa","hsa-miR-210-3p","EFNA3","1","1","1","0","1","0","1","0","5","7"
"MIRT003153","hsa","hsa","hsa-miR-210-3p","BDNF","1","1","1","1","0","0","1","0","5","1"
"MIRT003154","hsa","hsa","hsa-miR-210-3p","PTPN1","1","1","1","1","0","0","1","0","5","1"
"MIRT003155","hsa","hsa","hsa-miR-210-3p","P4HB","0","1","1","1","0","0","1","0","4","1"
"MIRT003156","hsa","hsa","hsa-miR-210-3p","UBQLN1","0","0","1","1","0","0","1","0","3","1"
"MIRT003157","hsa","hsa","hsa-miR-210-3p","SERTAD2","0","0","1","1","0","0","1","0","3","1"
"MIRT003158","hsa","hsa","hsa-miR-210-3p","SEH1L","0","0","1","1","0","0","1","0","3","1"
"MIRT003159","hsa","hsa","hsa-miR-210-3p","NCAM1","1","0","1","1","0","0","1","0","4","1"
"MIRT003160","hsa","hsa","hsa-miR-210-3p","MID1IP1","0","0","1","1","0","0","1","0","3","1"
"MIRT003161","hsa","hsa","hsa-miR-210-3p","MDGA1","0","0","1","1","0","0","1","0","3","1"
"MIRT003162","hsa","hsa","hsa-miR-210-3p","KIAA1161","0","0","1","1","0","0","1","0","3","1"
"MIRT003163","hsa","hsa","hsa-miR-210-3p","ISCU","1","1","1","1","1","0","1","0","6","7"
"MIRT003164","hsa","hsa","hsa-miR-210-3p","HOXA3","0","0","1","1","0","0","1","0","3","1"
"MIRT003165","hsa","hsa","hsa-miR-210-3p","GPD1L","1","0","1","1","0","0","1","0","4","1"
"MIRT003166","hsa","hsa","hsa-miR-210-3p","DENND6A","0","0","1","1","0","0","1","0","3","1"
"MIRT003167","hsa","hsa","hsa-miR-210-3p","CPEB2","1","1","1","1","0","0","1","0","5","1"
"MIRT003168","hsa","hsa","hsa-miR-210-3p","CDK10","0","0","1","1","0","0","1","0","3","1"
