"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT061543","hsa","hsa","hsa-miR-210-5p","BTG2","0","0","0","0","1","0","0","1","2","4"
"MIRT063620","hsa","hsa","hsa-miR-210-5p","FBXO28","0","0","0","0","1","0","0","1","2","2"
"MIRT246301","hsa","hsa","hsa-miR-210-5p","HIST2H2AA3","0","0","0","0","1","0","0","1","2","4"
"MIRT246313","hsa","hsa","hsa-miR-210-5p","HIST2H2AA4","0","0","0","0","1","0","0","1","2","4"
"MIRT257939","hsa","hsa","hsa-miR-210-5p","GIGYF1","0","0","0","0","1","0","0","1","2","2"
"MIRT443011","hsa","hsa","hsa-miR-210-5p","PDE7A","0","0","0","0","1","0","0","1","2","2"
"MIRT457146","hsa","hsa","hsa-miR-210-5p","RBM38","0","0","0","0","1","0","0","1","2","2"
"MIRT477123","hsa","hsa","hsa-miR-210-5p","FAM134C","0","0","0","0","1","0","0","1","2","2"
"MIRT502989","hsa","hsa","hsa-miR-210-5p","CCDC71L","0","0","0","0","1","0","0","1","2","8"
"MIRT520875","hsa","hsa","hsa-miR-210-5p","STX17","0","0","0","0","1","0","0","1","2","2"
"MIRT522447","hsa","hsa","hsa-miR-210-5p","MOB4","0","0","0","0","1","0","0","1","2","2"
"MIRT522473","hsa","hsa","hsa-miR-210-5p","ZAK","0","0","0","0","1","0","0","1","2","2"
"MIRT523096","hsa","hsa","hsa-miR-210-5p","HSPE1-MOB4","0","0","0","0","1","0","0","1","2","2"
"MIRT532605","hsa","hsa","hsa-miR-210-5p","SPTLC2","0","0","0","0","1","0","0","1","2","2"
"MIRT536267","hsa","hsa","hsa-miR-210-5p","LONRF2","0","0","0","0","1","0","0","1","2","2"
"MIRT571027","hsa","hsa","hsa-miR-210-5p","CENPP","0","0","0","0","1","0","0","1","2","2"
"MIRT608922","hsa","hsa","hsa-miR-210-5p","REXO2","0","0","0","0","1","0","0","1","2","4"
"MIRT609853","hsa","hsa","hsa-miR-210-5p","DAZAP2","0","0","0","0","1","0","0","1","2","2"
"MIRT623222","hsa","hsa","hsa-miR-210-5p","MSANTD4","0","0","0","0","1","0","0","1","2","2"
"MIRT627100","hsa","hsa","hsa-miR-210-5p","PDRG1","0","0","0","0","1","0","0","1","2","2"
"MIRT627255","hsa","hsa","hsa-miR-210-5p","XKR4","0","0","0","0","1","0","0","1","2","2"
"MIRT634635","hsa","hsa","hsa-miR-210-5p","HIP1","0","0","0","0","1","0","0","1","2","4"
"MIRT646485","hsa","hsa","hsa-miR-210-5p","APBB3","0","0","0","0","1","0","0","1","2","2"
"MIRT647428","hsa","hsa","hsa-miR-210-5p","ZKSCAN2","0","0","0","0","1","0","0","1","2","2"
"MIRT651815","hsa","hsa","hsa-miR-210-5p","USP49","0","0","0","0","1","0","0","1","2","2"
"MIRT661054","hsa","hsa","hsa-miR-210-5p","RPL18A","0","0","0","0","1","0","0","1","2","2"
"MIRT667208","hsa","hsa","hsa-miR-210-5p","NIPAL1","0","0","0","0","1","0","0","1","2","2"
"MIRT707056","hsa","hsa","hsa-miR-210-5p","NACC2","0","0","0","0","1","0","0","1","2","2"
"MIRT709047","hsa","hsa","hsa-miR-210-5p","MRO","0","0","0","0","1","0","0","1","2","2"
"MIRT709846","hsa","hsa","hsa-miR-210-5p","SNX12","0","0","0","0","1","0","0","1","2","2"
"MIRT710789","hsa","hsa","hsa-miR-210-5p","IFNLR1","0","0","0","0","1","0","0","1","2","2"
"MIRT711695","hsa","hsa","hsa-miR-210-5p","GMPR","0","0","0","0","1","0","0","1","2","2"
"MIRT714543","hsa","hsa","hsa-miR-210-5p","COL14A1","0","0","0","0","1","0","0","1","2","2"
"MIRT715926","hsa","hsa","hsa-miR-210-5p","CHD4","0","0","0","0","1","0","0","1","2","2"
"MIRT716715","hsa","hsa","hsa-miR-210-5p","SCN7A","0","0","0","0","1","0","0","1","2","2"
"MIRT720852","hsa","hsa","hsa-miR-210-5p","MEF2D","0","0","0","0","1","0","0","1","2","2"
"MIRT722894","hsa","hsa","hsa-miR-210-5p","LRRC20","0","0","0","0","1","0","0","1","2","2"
"MIRT723065","hsa","hsa","hsa-miR-210-5p","GGA1","0","0","0","0","1","0","0","1","2","2"
"MIRT723085","hsa","hsa","hsa-miR-210-5p","INSIG1","0","0","0","0","1","0","0","1","2","2"
"MIRT723482","hsa","hsa","hsa-miR-210-5p","MINOS1","0","0","0","0","1","0","0","1","2","2"
"MIRT724575","hsa","hsa","hsa-miR-210-5p","NOTCH2","0","0","0","0","1","0","0","1","2","2"
"MIRT732857","hsa","hsa","hsa-miR-210-5p","LINC00654","0","0","0","0","1","0","0","0","1","0"
"MIRT732858","hsa","hsa","hsa-miR-210-5p","OGFRL1","0","0","0","0","1","0","0","0","1","0"
"MIRT736111","hsa","hsa","hsa-miR-210-5p","EGR3","1","1","1","0","0","0","0","0","3","0"
"MIRT741853","hsa","hsa","hsa-miR-210-5p","TRAPPC2B","0","0","0","0","0","0","0","1","1","1"
