"miRNA ID","miRNA Name","Target Gene IDs","Target Gene Names"
"MIMAT0000278","hsa-miR-221-3p","ENSG00000065361","ERBB3"
"MIMAT0000278","hsa-miR-221-3p","ENSG00000077943","ITGA8"
"MIMAT0000278","hsa-miR-221-3p","ENSG00000078369","GNB1"
"MIMAT0000278","hsa-miR-221-3p","ENSG00000104695","PPP2CB"
"MIMAT0000278","hsa-miR-221-3p","ENSG00000104812","GYS1"
"MIMAT0000278","hsa-miR-221-3p","ENSG00000105568","PPP2R1A"
"MIMAT0000278","hsa-miR-221-3p","ENSG00000105639","JAK3"
"MIMAT0000278","hsa-miR-221-3p","ENSG00000105810","CDK6"
"MIMAT0000278","hsa-miR-221-3p","ENSG00000105855","ITGB8"
"MIMAT0000278","hsa-miR-221-3p","ENSG00000105976","MET"
"MIMAT0000278","hsa-miR-221-3p","ENSG00000108953","YWHAE"
"MIMAT0000278","hsa-miR-221-3p","ENSG00000110092","CCND1"
"MIMAT0000278","hsa-miR-221-3p","ENSG00000111276","CDKN1B"
"MIMAT0000278","hsa-miR-221-3p","ENSG00000115966","ATF2"
"MIMAT0000278","hsa-miR-221-3p","ENSG00000118689","FOXO3"
"MIMAT0000278","hsa-miR-221-3p","ENSG00000118971","CCND2"
"MIMAT0000278","hsa-miR-221-3p","ENSG00000128272","ATF4"
"MIMAT0000278","hsa-miR-221-3p","ENSG00000132155","RAF1"
"MIMAT0000278","hsa-miR-221-3p","ENSG00000132470","ITGB4"
"MIMAT0000278","hsa-miR-221-3p","ENSG00000135679","MDM2"
"MIMAT0000278","hsa-miR-221-3p","ENSG00000135862","LAMC1"
"MIMAT0000278","hsa-miR-221-3p","ENSG00000137801","THBS1"
"MIMAT0000278","hsa-miR-221-3p","ENSG00000138685","FGF2"
"MIMAT0000278","hsa-miR-221-3p","ENSG00000153094","BCL2L11"
"MIMAT0000278","hsa-miR-221-3p","ENSG00000157404","KIT"
"MIMAT0000278","hsa-miR-221-3p","ENSG00000162409","PRKAA2"
"MIMAT0000278","hsa-miR-221-3p","ENSG00000166598","HSP90B1"
"MIMAT0000278","hsa-miR-221-3p","ENSG00000168209","DDIT4"
"MIMAT0000278","hsa-miR-221-3p","ENSG00000169031","COL4A3"
"MIMAT0000278","hsa-miR-221-3p","ENSG00000169242","EFNA1"
"MIMAT0000278","hsa-miR-221-3p","ENSG00000170027","YWHAG"
"MIMAT0000278","hsa-miR-221-3p","ENSG00000170962","PDGFD"
"MIMAT0000278","hsa-miR-221-3p","ENSG00000171862","PTEN"
"MIMAT0000278","hsa-miR-221-3p","ENSG00000178568","ERBB4"
"MIMAT0000278","hsa-miR-221-3p","ENSG00000187391","MAGI2"
"MIMAT0000278","hsa-miR-221-3p","ENSG00000198793","MTOR"
"MIMAT0000278","hsa-miR-221-3p","ENSG00000221914","PPP2R2A"
