"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT001199","hsa","hsa","hsa-miR-92a-3p","UVRAG","0","0","0","0","1","0","0","0","1","1"
"MIRT003031","hsa","hsa","hsa-miR-92a-3p","ITGA5","1","1","1","1","0","0","1","0","5","1"
"MIRT004089","hsa","hsa","hsa-miR-92a-3p","ARID4B","1","0","0","0","0","0","1","0","2","1"
"MIRT004090","hsa","hsa","hsa-miR-92a-3p","HIPK3","1","0","0","0","0","0","1","0","2","1"
"MIRT004091","hsa","hsa","hsa-miR-92a-3p","MYLIP","1","0","0","0","1","0","1","1","4","8"
"MIRT004281","hsa","hsa","hsa-miR-92a-3p","TP63","1","1","1","0","0","0","1","0","4","1"
"MIRT004331","hsa","hsa","hsa-miR-92a-3p","KAT2B","1","1","0","0","1","0","1","0","4","2"
"MIRT004563","hsa","hsa","hsa-miR-92a-3p","ESR2","1","0","0","0","0","0","1","0","2","1"
"MIRT004737","hsa","hsa","hsa-miR-92a-3p","TGFBR2","1","0","1","1","0","0","1","0","4","2"
"MIRT004932","hsa","hsa","hsa-miR-92a-3p","BMPR2","1","1","1","0","1","0","1","0","5","2"
"MIRT005590","hsa","hsa","hsa-miR-92a-3p","CPEB2","1","0","1","0","1","0","1","0","4","2"
"MIRT005628","hsa","hsa","hsa-miR-92a-3p","THBS1","0","0","1","1","0","0","1","0","3","1"
"MIRT005632","hsa","hsa","hsa-miR-92a-3p","SMAD4","0","0","0","1","0","0","1","0","2","1"
"MIRT006029","hsa","hsa","hsa-miR-92a-3p","CDH1","1","0","1","0","0","0","0","0","2","1"
"MIRT006148","hsa","hsa","hsa-miR-92a-3p","BCL2L11","1","1","1","0","1","0","0","1","5","12"
"MIRT006372","hsa","hsa","hsa-miR-92a-3p","KLF2","1","0","0","0","0","0","1","0","2","1"
"MIRT048915","hsa","hsa","hsa-miR-92a-3p","TPD52L3","0","0","0","0","1","0","0","0","1","1"
"MIRT048916","hsa","hsa","hsa-miR-92a-3p","TXLNA","0","0","0","0","1","0","0","1","2","5"
