Gene	
64840  	PORCN; porcupine O-acyltransferase [KO:K00181] [EC:2.3.1.250]
7471  	WNT1; Wnt family member 1 [KO:K03209]
7472  	WNT2; Wnt family member 2 [KO:K00182]
7482  	WNT2B; Wnt family member 2B [KO:K00182]
7473  	WNT3; Wnt family member 3 [KO:K00312]
89780  	WNT3A; Wnt family member 3A [KO:K00312]
54361  	WNT4; Wnt family member 4 [KO:K00408]
7474  	WNT5A; Wnt family member 5A [KO:K00444]
81029  	WNT5B; Wnt family member 5B [KO:K00444]
7475  	WNT6; Wnt family member 6 [KO:K00445]
7476  	WNT7A; Wnt family member 7A [KO:K00572]
7477  	WNT7B; Wnt family member 7B [KO:K00572]
7478  	WNT8A; Wnt family member 8A [KO:K00714]
7479  	WNT8B; Wnt family member 8B [KO:K00714]
7483  	WNT9A; Wnt family member 9A [KO:K01064]
7484  	WNT9B; Wnt family member 9B [KO:K01064]
7480  	WNT10B; Wnt family member 10B [KO:K01357]
80326  	WNT10A; Wnt family member 10A [KO:K01357]
7481  	WNT11; Wnt family member 11 [KO:K01384]
51384  	WNT16; Wnt family member 16 [KO:K01558]
9350  	CER1; cerberus 1, DAN family BMP antagonist [KO:K01645]
147111  	NOTUM; notum, palmitoleoyl-protein carboxylesterase [KO:K19882] [EC:3.1.1.98]
11197  	WIF1; WNT inhibitory factor 1 [KO:K01691]
50964  	SOST; sclerostin [KO:K16834]
22943  	DKK1; dickkopf WNT signaling pathway inhibitor 1 [KO:K02165]
27123  	DKK2; dickkopf WNT signaling pathway inhibitor 2 [KO:K02165]
27121  	DKK4; dickkopf WNT signaling pathway inhibitor 4 [KO:K02165]
5176  	SERPINF1; serpin family F member 1 [KO:K19614]
6422  	SFRP1; secreted frizzled related protein 1 [KO:K02166]
6423  	SFRP2; secreted frizzled related protein 2 [KO:K02176]
2487  	FRZB; frizzled related protein [KO:K25481]
6424  	SFRP4; secreted frizzled related protein 4 [KO:K02185]
6425  	SFRP5; secreted frizzled related protein 5 [KO:K02222]
284654  	RSPO1; R-spondin 1 [KO:K19471]
340419  	RSPO2; R-spondin 2 [KO:K23097]
84870  	RSPO3; R-spondin 3 [KO:K23098]
343637  	RSPO4; R-spondin 4 [KO:K23099]
55366  	LGR4; leucine rich repeat containing G protein-coupled receptor 4 [KO:K04309]
8549  	LGR5; leucine rich repeat containing G protein-coupled receptor 5 [KO:K04308]
59352  	LGR6; leucine rich repeat containing G protein-coupled receptor 6 [KO:K08399]
54894  	RNF43; ring finger protein 43 [KO:K15694] [EC:2.3.2.27]
84133  	ZNRF3; zinc and ring finger 3 [KO:K16273] [EC:2.3.2.27]
8321  	FZD1; frizzled class receptor 1 [KO:K02432]
8324  	FZD7; frizzled class receptor 7 [KO:K02432]
2535  	FZD2; frizzled class receptor 2 [KO:K02235]
7976  	FZD3; frizzled class receptor 3 [KO:K02329]
8322  	FZD4; frizzled class receptor 4 [KO:K02354]
7855  	FZD5; frizzled class receptor 5 [KO:K02375]
8325  	FZD8; frizzled class receptor 8 [KO:K02375]
8323  	FZD6; frizzled class receptor 6 [KO:K02376]
11211  	FZD10; frizzled class receptor 10 [KO:K02842]
8326  	FZD9; frizzled class receptor 9 [KO:K02842]
4041  	LRP5; LDL receptor related protein 5 [KO:K03068]
4040  	LRP6; LDL receptor related protein 6 [KO:K03068]
25805  	BAMBI; BMP and activin membrane bound inhibitor [KO:K10162]
147495  	APCDD1; APC down-regulated 1 [KO:K25812]
164284  	APCDD1L; APC down-regulated 1 like [KO:K25812]
1454  	CSNK1E; casein kinase 1 epsilon [KO:K08960] [EC:2.7.11.1]
102800317  	TPTEP2-CSNK1E; TPTEP2-CSNK1E readthrough [KO:K08960] [EC:2.7.11.1]
440193  	CCDC88C; coiled-coil domain containing 88C [KO:K25811]
1857  	DVL3; dishevelled segment polarity protein 3 [KO:K02353]
