Gene	
3091  	HIF1A; hypoxia inducible factor 1 subunit alpha [KO:K08268]
1950  	EGF; epidermal growth factor [KO:K04357]
1956  	EGFR; epidermal growth factor receptor [KO:K04361] [EC:2.7.10.1]
3265  	HRAS; HRas proto-oncogene, GTPase [KO:K02833]
3845  	KRAS; KRAS proto-oncogene, GTPase [KO:K07827]
4893  	NRAS; NRAS proto-oncogene, GTPase [KO:K07828]
5894  	RAF1; Raf-1 proto-oncogene, serine/threonine kinase [KO:K04366] [EC:2.7.11.1]
5604  	MAP2K1; mitogen-activated protein kinase kinase 1 [KO:K04368] [EC:2.7.12.2]
5605  	MAP2K2; mitogen-activated protein kinase kinase 2 [KO:K04369] [EC:2.7.12.2]
5594  	MAPK1; mitogen-activated protein kinase 1 [KO:K04371] [EC:2.7.11.24]
5595  	MAPK3; mitogen-activated protein kinase 3 [KO:K04371] [EC:2.7.11.24]
2353  	FOS; Fos proto-oncogene, AP-1 transcription factor subunit [KO:K04379]
3725  	JUN; Jun proto-oncogene, AP-1 transcription factor subunit [KO:K04448]
27436  	EML4; EMAP like 4 [KO:K15420]
238  	ALK; ALK receptor tyrosine kinase [KO:K05119] [EC:2.7.10.1]
5295  	PIK3R1; phosphoinositide-3-kinase regulatory subunit 1 [KO:K02649]
5296  	PIK3R2; phosphoinositide-3-kinase regulatory subunit 2 [KO:K02649]
8503  	PIK3R3; phosphoinositide-3-kinase regulatory subunit 3 [KO:K02649]
5290  	PIK3CA; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [KO:K00922] [EC:2.7.1.153]
5293  	PIK3CD; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [KO:K00922] [EC:2.7.1.153]
5291  	PIK3CB; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta [KO:K00922] [EC:2.7.1.153]
5728  	PTEN; phosphatase and tensin homolog [KO:K01110] [EC:3.1.3.16 3.1.3.48 3.1.3.67]
207  	AKT1; AKT serine/threonine kinase 1 [KO:K04456] [EC:2.7.11.1]
208  	AKT2; AKT serine/threonine kinase 2 [KO:K04456] [EC:2.7.11.1]
10000  	AKT3; AKT serine/threonine kinase 3 [KO:K04456] [EC:2.7.11.1]
2475  	MTOR; mechanistic target of rapamycin kinase [KO:K07203] [EC:2.7.11.1]
6198  	RPS6KB1; ribosomal protein S6 kinase B1 [KO:K04688] [EC:2.7.11.1]
6199  	RPS6KB2; ribosomal protein S6 kinase B2 [KO:K04688] [EC:2.7.11.1]
1147  	CHUK; component of inhibitor of nuclear factor kappa B kinase complex [KO:K04467] [EC:2.7.11.10]
3551  	IKBKB; inhibitor of nuclear factor kappa B kinase subunit beta [KO:K07209] [EC:2.7.11.10]
8517  	IKBKG; inhibitor of nuclear factor kappa B kinase regulatory subunit gamma [KO:K07210]
4792  	NFKBIA; NFKB inhibitor alpha [KO:K04734]
4793  	NFKBIB; NFKB inhibitor beta [KO:K02581]
4794  	NFKBIE; NFKB inhibitor epsilon [KO:K05872]
4790  	NFKB1; nuclear factor kappa B subunit 1 [KO:K02580]
5970  	RELA; RELA proto-oncogene, NF-kB subunit [KO:K04735]
3458  	IFNG; interferon gamma [KO:K04687]
3459  	IFNGR1; interferon gamma receptor 1 [KO:K05132]
3460  	IFNGR2; interferon gamma receptor 2 [KO:K05133]
3716  	JAK1; Janus kinase 1 [KO:K11217] [EC:2.7.10.2]
3717  	JAK2; Janus kinase 2 [KO:K04447] [EC:2.7.10.2]
6772  	STAT1; signal transducer and activator of transcription 1 [KO:K11220]
6774  	STAT3; signal transducer and activator of transcription 3 [KO:K04692]
7097  	TLR2; toll like receptor 2 [KO:K10159]
7099  	TLR4; toll like receptor 4 [KO:K10160]
54106  	TLR9; toll like receptor 9 [KO:K10161]
114609  	TIRAP; TIR domain containing adaptor protein [KO:K05403]
4615  	MYD88; MYD88 innate immune signal transduction adaptor [KO:K04729]
7189  	TRAF6; TNF receptor associated factor 6 [KO:K03175] [EC:2.3.2.27]
4772  	NFATC1; nuclear factor of activated T cells 1 [KO:K04446]
4773  	NFATC2; nuclear factor of activated T cells 2 [KO:K17332]
4775  	NFATC3; nuclear factor of activated T cells 3 [KO:K17333]
148022  	TICAM1; TIR domain containing adaptor molecule 1 [KO:K05842]
353376  	TICAM2; TIR domain containing adaptor molecule 2 [KO:K05409]
29126  	CD274; CD274 molecule [KO:K06745]
