"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT000144","hsa","hsa","hsa-miR-217","SIRT1","1","1","1","0","0","0","1","0","4","2"
"MIRT000481","hsa","hsa","hsa-miR-217","ROBO1","1","1","1","0","0","0","1","0","4","1"
"MIRT000533","hsa","hsa","hsa-miR-217","PTEN","1","1","0","0","0","0","1","0","3","3"
"MIRT003535","hsa","hsa","hsa-miR-217","NR4A2","1","0","0","1","0","0","1","0","3","1"
"MIRT004010","hsa","hsa","hsa-miR-217","EZH2","1","1","1","0","0","0","1","0","4","2"
"MIRT004866","hsa","hsa","hsa-miR-217","TRAPPC2P1","1","0","0","0","0","0","1","0","2","1"
"MIRT005685","hsa","hsa","hsa-miR-217","PPM1D","1","0","0","0","0","0","0","0","1","1"
"MIRT006363","hsa","hsa","hsa-miR-217","FHIT","1","0","0","0","0","0","0","0","1","1"
"MIRT006501","hsa","hsa","hsa-miR-217","KRAS","1","0","0","0","0","0","0","0","1","1"
"MIRT007153","hsa","hsa","hsa-miR-217","SMAD7","1","0","0","0","0","0","0","0","1","1"
"MIRT024253","hsa","mmu","hsa-miR-217","Pten","0","0","0","0","0","0","1","0","1","1"
"MIRT024254","hsa","hsa","hsa-miR-217","IRS1","0","0","0","0","0","0","1","0","1","1"
"MIRT053154","hsa","hsa","hsa-miR-217","E2F3","1","1","0","0","0","0","0","0","2","1"
"MIRT054838","hsa","hsa","hsa-miR-217","DACH1","1","1","1","0","0","0","0","0","3","1"
"MIRT097003","hsa","hsa","hsa-miR-217","MAP1B","0","0","0","0","1","0","0","1","2","2"
"MIRT226550","hsa","hsa","hsa-miR-217","TP53INP1","0","0","0","0","1","0","0","1","2","2"
"MIRT243450","hsa","hsa","hsa-miR-217","LMLN","0","0","0","0","1","0","0","1","2","2"
"MIRT270975","hsa","hsa","hsa-miR-217","FLVCR1","0","0","0","0","1","0","0","1","2","2"
"MIRT271119","hsa","hsa","hsa-miR-217","ZNF268","0","0","0","0","1","0","0","1","2","4"
"MIRT315221","hsa","hsa","hsa-miR-217","FOXO3","1","1","1","0","0","0","0","0","3","1"
"MIRT331090","hsa","hsa","hsa-miR-217","GHITM","0","0","0","0","1","0","0","1","2","2"
"MIRT349300","hsa","hsa","hsa-miR-217","ZNF317","0","0","0","0","1","0","0","1","2","2"
"MIRT438314","hsa","hsa","hsa-miR-217","GPC5","1","1","1","0","0","0","0","0","3","1"
"MIRT443492","hsa","hsa","hsa-miR-217","ZNF583","0","0","0","0","1","0","0","1","2","2"
"MIRT445834","hsa","hsa","hsa-miR-217","SRSF11","0","0","0","0","1","0","0","1","2","2"
"MIRT462007","hsa","hsa","hsa-miR-217","SNRNP27","0","0","0","0","1","0","0","1","2","2"
"MIRT488451","hsa","hsa","hsa-miR-217","ACBD3","0","0","0","0","1","0","0","1","2","2"
"MIRT496632","hsa","hsa","hsa-miR-217","TMEM67","0","0","0","0","1","0","0","1","2","2"
"MIRT502218","hsa","hsa","hsa-miR-217","HSPA4L","0","0","0","0","1","0","0","1","2","4"
"MIRT505421","hsa","hsa","hsa-miR-217","TCF7L2","0","0","0","0","1","0","0","1","2","4"
"MIRT508428","hsa","hsa","hsa-miR-217","SFTPB","0","0","0","0","1","0","0","1","2","2"
"MIRT513125","hsa","hsa","hsa-miR-217","OSBPL3","0","0","0","0","1","0","0","1","2","2"
"MIRT521500","hsa","hsa","hsa-miR-217","RAB11B","0","0","0","0","1","0","0","1","2","2"
"MIRT532484","hsa","hsa","hsa-miR-217","HOXA13","0","0","0","0","1","0","0","1","2","2"
"MIRT533643","hsa","hsa","hsa-miR-217","TMSB4X","0","0","0","0","1","0","0","1","2","2"
"MIRT533938","hsa","hsa","hsa-miR-217","TAF1D","0","0","0","0","1","0","0","1","2","2"
"MIRT539384","hsa","hsa","hsa-miR-217","ADSS","0","0","0","0","1","0","0","1","2","6"
"MIRT546247","hsa","hsa","hsa-miR-217","TNFRSF21","0","0","0","0","1","0","0","1","2","2"
"MIRT547978","hsa","hsa","hsa-miR-217","HIF1A","0","0","0","0","1","0","0","1","2","2"
"MIRT550850","hsa","hsa","hsa-miR-217","TMEM63A","0","0","0","0","1","0","0","1","2","2"
"MIRT555488","hsa","hsa","hsa-miR-217","PNRC2","0","0","0","0","1","0","0","1","2","2"
"MIRT558575","hsa","hsa","hsa-miR-217","CREBZF","0","0","0","0","1","0","0","1","2","2"
"MIRT575909","mmu","mmu","hsa-miR-217","March5","0","0","0","0","1","0","0","1","2","5"
"MIRT610752","hsa","hsa","hsa-miR-217","MARCH5","0","0","0","0","1","0","0","1","2","7"
"MIRT613152","hsa","hsa","hsa-miR-217","DNAL1","0","0","0","0","1","0","0","1","2","2"
"MIRT624598","hsa","hsa","hsa-miR-217","BACH2","0","0","0","0","1","0","0","1","2","2"
"MIRT630875","hsa","hsa","hsa-miR-217","UBXN11","0","0","0","0","1","0","0","1","2","2"
"MIRT639314","hsa","hsa","hsa-miR-217","CKAP4","0","0","0","0","1","0","0","1","2","2"
"MIRT639870","hsa","hsa","hsa-miR-217","STK40","0","0","0","0","1","0","0","1","2","2"
"MIRT641783","hsa","hsa","hsa-miR-217","ZBTB20","0","0","0","0","1","0","0","1","2","2"
"MIRT645976","hsa","hsa","hsa-miR-217","NHLRC2","0","0","0","0","1","0","0","1","2","2"
"MIRT648474","hsa","hsa","hsa-miR-217","TCERG1","0","0","0","0","1","0","0","1","2","2"
"MIRT648798","hsa","hsa","hsa-miR-217","VPS8","0","0","0","0","1","0","0","1","2","2"
"MIRT652845","hsa","hsa","hsa-miR-217","TACO1","0","0","0","0","1","0","0","1","2","2"
"MIRT682748","hsa","hsa","hsa-miR-217","CA6","0","0","0","0","1","0","0","1","2","2"
"MIRT683723","hsa","hsa","hsa-miR-217","LACTB","0","0","0","0","1","0","0","1","2","2"
"MIRT701707","hsa","hsa","hsa-miR-217","MXD1","0","0","0","0","1","0","0","1","2","2"
"MIRT701913","hsa","hsa","hsa-miR-217","MMGT1","0","0","0","0","1","0","0","1","2","2"
"MIRT704818","hsa","hsa","hsa-miR-217","CDC73","0","0","0","0","1","0","0","1","2","2"
"MIRT705207","hsa","hsa","hsa-miR-217","BTG1","0","0","0","0","1","0","0","1","2","2"
"MIRT709727","hsa","hsa","hsa-miR-217","FAM196B","0","0","0","0","1","0","0","1","2","2"
"MIRT711160","hsa","hsa","hsa-miR-217","WDR82P1","0","0","0","0","1","0","0","1","2","2"
"MIRT713022","hsa","hsa","hsa-miR-217","SLC4A2","0","0","0","0","1","0","0","1","2","2"
"MIRT718754","hsa","hsa","hsa-miR-217","ZNF490","0","0","0","0","1","0","0","1","2","2"
"MIRT719493","hsa","hsa","hsa-miR-217","LSG1","0","0","0","0","1","0","0","1","2","2"
"MIRT720644","hsa","hsa","hsa-miR-217","ELF5","0","0","0","0","1","0","0","1","2","2"
"MIRT723026","hsa","hsa","hsa-miR-217","HINFP","0","0","0","0","1","0","0","1","2","2"
"MIRT732481","hsa","hsa","hsa-miR-217","CLU","1","1","1","0","0","0","0","0","3","0"
"MIRT737306","hsa","hsa","hsa-miR-217","SNHG14","1","1","1","0","0","0","0","0","3","0"
"MIRT737325","hsa","hsa","hsa-miR-217","HOTAIR","1","1","1","0","0","0","0","0","3","0"
"MIRT737376","hsa","hsa","hsa-miR-217","MAPK1","0","0","1","0","0","0","0","0","1","0"
