=== Run information ===

Scheme:       weka.classifiers.meta.AttributeSelectedClassifier -E "weka.attributeSelection.InfoGainAttributeEval " -S "weka.attributeSelection.Ranker -T 0.01 -N -1" -W weka.classifiers.trees.LMT -- -I -1 -M 15 -W 0.0
Relation:     mirdb_interactions_m54_training_2-weka.filters.unsupervised.attribute.Remove-R1
Instances:    108
Attributes:   8785
              [list of attributes omitted]
Test mode:    10-fold cross-validation

=== Classifier model (full training set) ===

AttributeSelectedClassifier:



=== Attribute Selection on all input data ===

Search Method:
	Attribute ranking.
	Threshold for discarding attributes:   0.01  

Attribute Evaluator (supervised, Class (nominal): 8785 DIAGNOSTIC_POSITIVE):
	Information Gain Ranking Filter

Ranked attributes:
 0.1102       6402 RPS6KA5
 0.0994       8649 ZNF512B
 0.0888       3697 ITGB8
 0.0784       8168 USP46
 0.0784        885 C2CD2
 0.0784       1490 CLOCK
 0.0784       8157 USP3
 0.0681        545 ATG16L1
 0.0681       3791 KCNK10
 0.0681       8427 ZBTB34
 0.0681       5945 PTPN4
 0.0681       2500 FAM45A
 0.0681       8431 ZBTB4
 0.0681       2242 ELK4
 0.0681       4194 LRIG1
 0.0681       4913 NFAT5
 0.0681       8603 ZNF367
 0.0681       8514 ZFYVE9
 0.0681       1665 CREBRF
 0.0681       3928 KLHL28
 0.0579       2765 FYCO1
 0.0579       6887 SLC40A1
 0.0579       5540 PKD2
 0.0579       6457 RUFY2
 0.0579       7421 TBC1D9
 0.0579       4562 MKRN1
 0.0579       2573 FBXW7
 0.0579        305 ANKIB1
 0.0579       2315 EPHA5
 0.0579       4791 NABP1
 0.0579       6485 SACS
 0.0579       6348 RORA
 0.0579       2579 FCHO2
 0.0579       3370 HSPA8
 0.0579       5354 PDCD1LG2
 0.0579       7413 TBC1D20
 0.0579       6491 SAMD12
 0.0579       7895 TRIM71
 0.0579       1376 CFL2
 0.0579       5913 PTEN
 0.0579       3056 GPR6
 0.0579       2401 EZH1
 0.0579        333 ANKRD52
 0.0579       2122 E2F1
 0.0579       6415 RRAGD
 0.0579       5045 NR6A1
 0.0579       3044 GPR137C
 0.0579       2725 FRMD6
 0.0579       2723 FRMD4B
 0.0579       5013 NPAT
 0.0579       5011 NPAS2
 0.0579        790 BRMS1L
 0.0579       2736 FSD1L
 0.0579       8511 ZFYVE26
 0.0579       1018 CAMTA1
 0.0579       1173 CCND1
 0.0579       4838 NCOA3
 0.0579       2314 EPHA4
 0.0579       6295 RNF128
 0.0579       4334 MAP3K2
 0.0579       3784 KCNJ2
 0.0579       6114 RASGRF2
 0.0579       8737 ZNF800
 0.0579       8758 ZNFX1
 0.0579       8019 TXNIP
 0.0579       8745 ZNF827
 0.0579       3767 KCNB1
 0.0579       4196 LRIG3
 0.0579       6219 RGL1
 0.0579       4454 MED12L
 0.0579       4115 LIN28B
 0.0579       8187 VANGL1
 0.0579        615 ATXN1L
 0.0579       3851 KIAA0513
 0.0579       3944 KMT2B
 0.0579       6013 RAB22A
 0.0579       2550 FBXL5
 0.0579        415 ARHGAP12
 0.0579        246 AKTIP
 0.0579       7248 STK17B
 0.0579       8224 VLDLR
 0.0579        447 ARID4B
 0.0579       3711 ITPRIPL2
 0.0579       2290 ENPP5
 0.0479        808 BTG2
