"miRNA ID","miRNA Name","Target Gene IDs","Target Gene Names"
"MIMAT0000267","hsa-miR-210-3p","ENSG00000037280","FLT4"
"MIMAT0000267","hsa-miR-210-3p","ENSG00000100030","MAPK1"
"MIMAT0000267","hsa-miR-210-3p","ENSG00000113494","PRLR"
"MIMAT0000267","hsa-miR-210-3p","ENSG00000115414","FN1"
"MIMAT0000267","hsa-miR-210-3p","ENSG00000118971","CCND2"
"MIMAT0000267","hsa-miR-210-3p","ENSG00000134871","COL4A2"
"MIMAT0000267","hsa-miR-210-3p","ENSG00000135679","MDM2"
"MIMAT0000267","hsa-miR-210-3p","ENSG00000137801","THBS1"
"MIMAT0000267","hsa-miR-210-3p","ENSG00000140992","PDPK1"
"MIMAT0000267","hsa-miR-210-3p","ENSG00000143590","EFNA3"
"MIMAT0000267","hsa-miR-210-3p","ENSG00000167244","IGF2"
"MIMAT0000267","hsa-miR-210-3p","ENSG00000168209","DDIT4"
"MIMAT0000267","hsa-miR-210-3p","ENSG00000176697","BDNF"
